Month,Weight
Feb 22,176.5
Feb 22,174
Feb 22,174.7
Feb 22,174.3
Feb 22,173.3
Feb 22,172.9
Mar 22,172.7
Mar 22,172.8
Mar 22,172.9
Mar 22,175.4
Mar 22,175.5
Mar 22,175.5
Mar 22,174.4
Mar 22,175.4
Mar 22,175.7
Mar 22,173.5
Mar 22,176
Mar 22,175.9
Mar 22,175.7
Mar 22,175.1
Mar 22,173.8
Mar 22,174.9
Mar 22,176.5
Mar 22,178
Mar 22,176.3
Mar 22,177.1
Mar 22,174.3
Mar 22,174.8
Mar 22,171.5
Mar 22,172.7
Mar 22,172.9
Mar 22,173.5
Mar 22,174
Mar 22,172.7
Mar 22,173.9
Mar 22,173.3
Mar 22,173.3
Apr 22,174.3
Apr 22,174.1
Apr 22,172.5
Apr 22,174.7
Apr 22,174.8
Apr 22,176.3
Apr 22,174.9
Apr 22,174.4
Apr 22,174.7
Apr 22,176
Apr 22,174.3
Apr 22,174.4
Apr 22,174.1
Apr 22,172.9
Apr 22,173.9
Apr 22,173.8
Apr 22,173.9
Apr 22,173.2
Apr 22,175.1
Apr 22,176.5
Apr 22,174.5
Apr 22,174.4
Apr 22,174.6
Apr 22,173.8
Apr 22,172.6
Apr 22,174
Apr 22,174.6
Apr 22,174.6
Apr 22,173.7
Apr 22,173.9
May 22,174
May 22,173
May 22,173.9
May 22,175.5
May 22,175.1
May 22,175.3
May 22,174.5
May 22,174.8
May 22,175.3
May 22,175.9
May 22,175.8
May 22,174.7
May 22,175.4
May 22,176.6
May 22,176.8
May 22,174.9
May 22,176.4
May 22,177.2
May 22,175
May 22,174.4
May 22,175.5
May 22,175.7
May 22,175.7
May 22,175.8
May 22,177.6
May 22,177.2
May 22,176.5
May 22,176.9
Jun 22,175.1
Jun 22,176.2
Jun 22,176.9
Jun 22,175.6
Jun 22,176.9
Jun 22,177
Jun 22,175.5
Jun 22,176.6
Jun 22,178.2
Jun 22,179
Jun 22,179.2
Jun 22,178.8
Jun 22,177.1
Jun 22,177.2
Jun 22,177
Jun 22,176.8
Jun 22,176.5
Jun 22,176.2
Jun 22,176.7
Jun 22,176.4
Jun 22,176.6
Jun 22,177.5
Jun 22,177.7
Jun 22,176.7
Jun 22,176.7
Jun 22,176.5
Jun 22,176.4
Jun 22,177.8
Jul 22,177.7
Jul 22,179.8
Jul 22,179
Jul 22,176.9
Jul 22,177.2
Jul 22,177.2
Jul 22,176.8
Jul 22,174.9
Jul 22,175.6
Jul 22,177
Jul 22,175.5
Jul 22,176.6
Jul 22,177.6
Jul 22,177.2
Jul 22,177.5
Jul 22,176.9
Jul 22,176.7
Jul 22,176.1
Jul 22,177
Jul 22,176.5
Jul 22,177.5
Jul 22,174.7
Jul 22,175.4
Jul 22,176.1
Jul 22,177
Jul 22,176.1
Jul 22,176.1
Jul 22,176.1
Aug 22,176.8
Aug 22,179
Aug 22,177.2
Aug 22,175.8
Aug 22,176.1
Aug 22,176.9
Aug 22,176.8
Aug 22,175.7
Aug 22,175.1
Aug 22,174.8
Aug 22,174.9
Aug 22,175.8
Aug 22,176.8
Aug 22,177.1
Aug 22,176.2
Aug 22,175.6
Aug 22,176.1
Aug 22,174.8
Aug 22,177.1
Aug 22,176.9
Aug 22,176.6
Aug 22,175.6
Aug 22,175.9
Aug 22,175.7
Aug 22,175.9
Aug 22,174.8
Aug 22,174.9
Aug 22,174.3
Aug 22,174.7
Aug 22,175.8
Aug 22,175.8
Sep 22,174.8
Sep 22,174.6
Sep 22,175.4
Sep 22,174.1
Sep 22,176
Sep 22,174.9
Sep 22,174.6
Sep 22,176.4
Sep 22,175.5
Sep 22,175.1
Sep 22,176.6
Sep 22,175
Sep 22,175.6
Sep 22,174.3
Sep 22,174.4
Sep 22,174.5
Sep 22,174.7
Sep 22,174.6
Sep 22,174
Sep 22,173.9
Sep 22,174.5
Sep 22,174.4
Sep 22,173.5
Sep 22,173.3
Sep 22,173
Sep 22,171.9
Sep 22,172.9
Sep 22,173.2
