Weekly Cases,Weekly Deaths,Date
27,NA,2020-04-01
43,NA,2020-04-08
41,NA,2020-04-15
114,NA,2020-04-22
151,NA,2020-04-29
195,11,2020-05-06
106,13,2020-05-13
110,NA,2020-05-20
71,NA,2020-05-27
39,NA,2020-06-03
37,NA,2020-06-10
29,0,2020-06-17
48,NA,2020-06-24
72,NA,2020-07-01
67,NA,2020-07-08
112,NA,2020-07-15
102,NA,2020-07-22
99,NA,2020-07-29
119,NA,2020-08-05
98,NA,2020-08-12
93,NA,2020-08-19
85,NA,2020-08-26
115,NA,2020-09-02
162,NA,2020-09-09
270,NA,2020-09-16
296,NA,2020-09-23
346,NA,2020-09-30
353,0,2020-10-07
411,NA,2020-10-14
521,NA,2020-10-21
551,NA,2020-10-28
754,12,2020-11-04
1035,17,2020-11-11
1047,14,2020-11-18
1085,12,2020-11-25
1053,NA,2020-12-02
756,11,2020-12-09
638,28,2020-12-16
515,19,2020-12-23
460,12,2020-12-30
605,28,2021-01-06
550,NA,2021-01-13
356,13,2021-01-20
366,17,2021-01-27
236,NA,2021-02-03
155,NA,2021-02-10
156,NA,2021-02-17
213,NA,2021-02-24
252,NA,2021-03-03
377,NA,2021-03-10
407,NA,2021-03-17
667,NA,2021-03-24
718,NA,2021-03-31
1103,NA,2021-04-07
1196,NA,2021-04-14
991,NA,2021-04-21
793,NA,2021-04-28
625,11,2021-05-05
433,13,2021-05-12
313,13,2021-05-19
190,NA,2021-05-26
78,NA,2021-06-02
69,NA,2021-06-09
36,NA,2021-06-16
44,0,2021-06-23
27,NA,2021-06-30
22,0,2021-07-07
39,NA,2021-07-14
53,0,2021-07-21
104,0,2021-07-28
185,NA,2021-08-04
342,NA,2021-08-11
391,NA,2021-08-18
476,NA,2021-08-25
408,NA,2021-09-01
389,NA,2021-09-08
571,NA,2021-09-15
563,NA,2021-09-22
456,NA,2021-09-29
650,NA,2021-10-06
691,NA,2021-10-13
554,NA,2021-10-20
641,NA,2021-10-27
811,11,2021-11-03
639,NA,2021-11-10
1469,NA,2021-11-17
1378,NA,2021-11-24
1115,NA,2021-12-01
1290,12,2021-12-08
1096,15,2021-12-15
1109,18,2021-12-22
1580,12,2021-12-29
2926,NA,2022-01-05
3734,14,2022-01-12
3830,15,2022-01-19
3212,17,2022-01-26
1838,12,2022-02-02
918,10,2022-02-09
561,NA,2022-02-16
334,12,2022-02-23
814,NA,2022-03-02
164,NA,2022-03-09
149,NA,2022-03-16
121,NA,2022-03-23
144,NA,2022-03-30
143,NA,2022-04-06
184,NA,2022-04-13
242,NA,2022-04-20
323,0,2022-04-27
382,0,2022-05-04
563,NA,2022-05-11
672,NA,2022-05-18
636,NA,2022-05-25
539,NA,2022-06-01
475,NA,2022-06-08
458,NA,2022-06-15
360,0,2022-06-22
501,NA,2022-06-29
424,0,2022-07-06
589,NA,2022-07-13
529,NA,2022-07-20
601,NA,2022-07-27
614,NA,2022-08-03
437,NA,2022-08-10
609,NA,2022-08-17
490,NA,2022-08-24
509,NA,2022-08-31
419,0,2022-09-07
508,NA,2022-09-14
500,NA,2022-09-21
390,NA,2022-09-28
318,NA,2022-10-05
267,NA,2022-10-12
232,NA,2022-10-19
237,NA,2022-10-26
217,NA,2022-11-02
170,NA,2022-11-09
147,NA,2022-11-16
160,NA,2022-11-23
153,NA,2022-11-30
277,NA,2022-12-07
364,NA,2022-12-14
348,NA,2022-12-21
247,NA,2022-12-28
160,0,2023-01-04
212,10,2023-01-11
154,NA,2023-01-18
