datetime (UTC),"coordinates (lat,lon)",model (name),model elevation (surface),utc_offset (hrs),temperature (degC)
2022-02-01,"(42.291707, -85.587229)",era5,261.76,-5.00,0.20
2022-02-02,"(42.291707, -85.587229)",era5,261.76,-5.00,-0.61
2022-02-03,"(42.291707, -85.587229)",era5,261.76,-5.00,-7.70
2022-02-04,"(42.291707, -85.587229)",era5,261.76,-5.00,-11.96
2022-02-05,"(42.291707, -85.587229)",era5,261.76,-5.00,-8.72
2022-02-06,"(42.291707, -85.587229)",era5,261.76,-5.00,-7.12
2022-02-07,"(42.291707, -85.587229)",era5,261.76,-5.00,-3.17
2022-02-08,"(42.291707, -85.587229)",era5,261.76,-5.00,-4.66
2022-02-09,"(42.291707, -85.587229)",era5,261.76,-5.00,0.99
2022-02-10,"(42.291707, -85.587229)",era5,261.76,-5.00,-0.02
2022-02-11,"(42.291707, -85.587229)",era5,261.76,-5.00,0.67
2022-02-12,"(42.291707, -85.587229)",era5,261.76,-5.00,-4.53
2022-02-13,"(42.291707, -85.587229)",era5,261.76,-5.00,-9.19
2022-02-14,"(42.291707, -85.587229)",era5,261.76,-5.00,-12.33
2022-02-15,"(42.291707, -85.587229)",era5,261.76,-5.00,-7.35
2022-02-16,"(42.291707, -85.587229)",era5,261.76,-5.00,4.05
2022-02-17,"(42.291707, -85.587229)",era5,261.76,-5.00,3.23
2022-02-18,"(42.291707, -85.587229)",era5,261.76,-5.00,-7.23
2022-02-19,"(42.291707, -85.587229)",era5,261.76,-5.00,-7.11
2022-02-20,"(42.291707, -85.587229)",era5,261.76,-5.00,-4.37
2022-02-21,"(42.291707, -85.587229)",era5,261.76,-5.00,4.15
2022-02-22,"(42.291707, -85.587229)",era5,261.76,-5.00,7.91
2022-02-23,"(42.291707, -85.587229)",era5,261.76,-5.00,-3.61
2022-02-24,"(42.291707, -85.587229)",era5,261.76,-5.00,-4.99
2022-02-25,"(42.291707, -85.587229)",era5,261.76,-5.00,-5.17
2022-02-26,"(42.291707, -85.587229)",era5,261.76,-5.00,-4.88
2022-02-27,"(42.291707, -85.587229)",era5,261.76,-5.00,-0.76
2022-02-28,"(42.291707, -85.587229)",era5,261.76,-5.00,-0.12
2022-03-01,"(42.291707, -85.587229)",era5,261.76,-5.00,4.52
2022-03-02,"(42.291707, -85.587229)",era5,261.76,-5.00,1.45
2022-03-03,"(42.291707, -85.587229)",era5,261.76,-5.00,-1.17
2022-03-04,"(42.291707, -85.587229)",era5,261.76,-5.00,-1.34
2022-03-05,"(42.291707, -85.587229)",era5,261.76,-5.00,7.01
